,Registration_Number,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,CTC,Joining_date,Leaving_date,Role,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Deg,Branch,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GradYear
0,201201001,0.9737,0.8128,0.5269,1.3549,-0.4455,515,585,525,0.635978756,445,-1,-1,-1,-1,-1,-1,420000,01-06-2012 00:00,present,senior quality engineer,Bangalore,f,19-02-1990 00:00,84.3,"board ofsecondary education,ap",2007,95.8,"board of intermediate education,ap",3223,2.0,B.Tech/B.E.,computer engineering,78.0,3223,0,Andhra Pradesh,2011.0
1,201201002,-0.7335,0.3789,1.2396,-0.1076,0.8637,695,610,780,0.9606032520000001,-1,466,-1,-1,-1,-1,-1,500000,01-09-2013 00:00,present,assistant manager,Indore,m,04-10-1989 00:00,85.4,cbse,2007,85.0,cbse,6058,2.0,B.Tech/B.E.,electronics and communication engineering,70.06,6058,0,Madhya Pradesh,2012.0
2,201201003,0.2718,1.7109,0.1637,-0.8682,0.6721,615,545,370,0.45087658399999997,395,-1,-1,-1,-1,-1,-1,325000,01-06-2014 00:00,present,systems engineer,Chennai,f,03-08-1992 00:00,85.0,cbse,2010,68.2,cbse,1620,2.0,B.Tech/B.E.,information technology,70.0,1620,0,Uttar Pradesh,2014.0
3,201201004,0.0464,0.3448,-0.344,-0.4078,-0.9194,635,585,625,0.974396113,615,-1,-1,-1,-1,-1,-1,1100000,01-07-2011 00:00,present,senior software engineer,Gurgaon,m,05-12-1989 00:00,85.6,cbse,2007,83.6,cbse,6569,1.0,B.Tech/B.E.,computer engineering,74.64,6569,1,Delhi,2011.0
4,201201005,-0.8809999999999999,-0.2793,-1.0697,0.09162999999999999,-0.1295,545,625,465,0.124502074,-1,233,-1,-1,-1,-1,-1,200000,01-03-2014 00:00,01-03-2015 00:00,get,Manesar,m,27-02-1991 00:00,,cbse,2008,76.8,cbse,8760,,B.Tech/B.E.,electronics and communication engineering,73.9,8760,0,Uttar Pradesh,
5,201201006,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,560,555,620,-1.0,645,-1,407,-1,-1,-1,-1,300000,01-06-2014 00:00,present,system engineer,Hyderabad,m,02-07-1992 00:00,89.92,state board,2010,87.0,state board,5799,2.0,B.Tech/B.E.,electronics and communication engineering,76.32,5799,0,Karnataka,2014.0
6,201201007,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,590,435,380,0.356536488,405,-1,346,-1,-1,-1,-1,300000,01-08-2014 00:00,01-05-2015 00:00,java software engineer,Banglore,m,01-02-1993 00:00,86.08,state board,2010,67.5,state board,2173,2.0,B.Tech/B.E.,computer science & engineering,72.98,2173,1,Karnataka,2014.0
7,201201008,-0.0154,1.2114,0.01,0.1459,1.247,545,555,590,0.8295846,-1,-1,-1,469,-1,-1,-1,400000,01-07-2014 00:00,01-07-2015 00:00,mechanical engineer,Bangalore,m,27-05-1992 00:00,92.0,cbse,2010,91.0,cbse,3881,1.0,B.Tech/B.E.,mechanical engineering,8.58,3881,0,Tamil Nadu,2016.0
8,201201009,-0.159,0.5454,-0.6048,-0.7415,-0.2859,615,670,530,0.694479328,735,366,-1,-1,-1,-1,-1,600000,01-07-2013 00:00,present,electrical engineer,Noida,m,17-09-1991 00:00,90.0,cbse,2009,,cbse,1452,,B.Tech/B.E.,electronics and electrical engineering,85.03,1452,1,Delhi,
9,201201010,-1.308,0.5454,-0.9122,0.9066,0.0973,605,565,545,0.493596387,385,324,-1,-1,-1,-1,-1,230000,01-07-2014 00:00,present,project engineer,Kolkata,m,13-06-1993 00:00,,cbse,2010,,cbse,7528,2.0,B.Tech/B.E.,electronics and communication engineering,78.0,7528,1,West Bengal,2014.0
10,201201011,0.0464,0.8128,0.0914,0.1798,0.0284,565,455,565,0.7656735809999999,485,-1,-1,-1,-1,-1,-1,600000,01-04-2011 00:00,01-04-2015 00:00,senior php developer,Bangalore,m,24-06-1989 00:00,88.6,mp board bhopal,2006,,mp board,2348,2.0,B.Tech/B.E.,computer engineering,74.9,2348,0,Madhya Pradesh,2010.0
11,201201012,-2.272,1.1248,0.8171,-0.4078,-0.4455,495,605,715,0.968237496,605,-1,-1,-1,-1,-1,-1,450000,01-08-2011 00:00,01-10-2014 00:00,senior systems engineer,Pune,m,10-02-1990 00:00,81.0,cbse,2007,,cbse,5470,1.0,B.Tech/B.E.,information technology,72.29,5470,0,Madhya Pradesh,2011.0
12,201201013,0.1282,0.5454,-0.7585,-0.995,0.8637,380,580,470,0.229481755,-1,266,-1,-1,-1,206,-1,270000,01-12-2013 00:00,present,quality assurance engineer,Pune,m,21-11-1990 00:00,83.6,state board,2008,,state board,4441,2.0,B.Tech/B.E.,electronics & telecommunications,60.0,4441,0,Maharashtra,2013.0
13,201201014,0.3555,0.0328,-0.598,-0.2902,-1.2354,495,425,645,0.538386893,385,333,-1,-1,-1,-1,-1,200000,01-01-2014 00:00,present,qa analyst,Gurgaon,m,23-10-1990 00:00,60.8,cbse,2008,,cbse,5841,2.0,B.Tech/B.E.,electronics and communication engineering,60.0,5841,0,Haryana,2012.0
14,201201015,0.7027,0.7119,0.01,-0.995,0.6721,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,300000,01-07-2013 00:00,present,java software engineer,Bangalore,m,02-07-1992 00:00,,state board,2008,79.9,state board,1620,2.0,B.Tech/B.E.,instrumentation and control engineering,67.67,1620,0,Uttar Pradesh,2013.0
15,201201016,1.7465,1.9048,0.672,-0.2902,1.2528,485,520,355,0.308400583,355,-1,-1,-1,-1,-1,-1,350000,01-08-2013 00:00,present,network engineer,-1,f,17-01-1990 00:00,69.54,icse,2008,64.43,isc,5498,2.0,B.Tech/B.E.,information technology,63.0,5498,0,Uttar Pradesh,2012.0
16,201201017,1.1336,1.0449,0.7785,-0.6147,-0.8608,685,530,620,-1.0,515,-1,-1,-1,-1,-1,-1,325000,01-09-2014 00:00,present,product development engineer,Noida,m,10-06-1992 00:00,85.8,cbse,2010,74.8,cbse,9838,2.0,B.Tech/B.E.,electronics and communication engineering,64.8,9838,0,Uttar Pradesh,2014.0
17,201201018,0.8463,1.0449,-1.0659,-1.6289,0.6721,465,585,515,0.911395278,545,-1,500,-1,-1,-1,-1,250000,01-08-2013 00:00,01-09-2014 00:00,associate software developer,Gurgaon,m,28-09-1987 00:00,,cbse,2006,66.66,cbse,1529,2.0,MCA,computer application,74.74,1529,1,Delhi,2013.0
18,201201019,-0.159,0.3789,1.3933,-0.2344,1.4386,465,495,515,0.563267824,425,-1,-1,-1,-1,-1,-1,120000,01-01-2014 00:00,01-06-2014 00:00,data entry operator,Gurgaon,m,07-12-1992 00:00,65.0,state board,2008,64.8,icse,1928,2.0,B.Tech/B.E.,computer science & engineering,69.54,1928,0,Uttar Pradesh,2013.0
19,201201020,0.8192,0.2668,-0.2714,-0.4078,-0.1295,485,445,435,0.864685413,525,-1,-1,-1,-1,-1,-1,325000,01-09-2014 00:00,present,software engineer,Pune,f,30-11-1990 00:00,79.0,cbse,2008,62.2,cbse,7164,2.0,B.Tech/B.E.,computer engineering,76.3,7164,0,Uttar Pradesh,2012.0
20,201201021,-0.1082,0.9688,0.5269,-0.2902,0.3444,455,535,445,0.635978756,445,-1,-1,-1,-1,-1,-1,320000,01-11-2010 00:00,01-09-2012 00:00,software engineer,Bangalore,f,25-07-1988 00:00,91.2,karnataka secondary school of examination,2006,84.63,karnataka pre university board,5456,2.0,B.Tech/B.E.,computer engineering,78.15,5456,0,Karnataka,2010.0
21,201201022,-1.0355,-0.5913,-1.3599,0.062229999999999994,-1.3539,385,555,445,0.635978756,445,-1,-1,-1,-1,-1,-1,200000,01-08-2012 00:00,01-12-2013 00:00,software engineer,-1,f,20-08-1991 00:00,75.67,up,2007,74.4,up,8760,2.0,B.Tech/B.E.,information technology,74.01,8760,0,Uttar Pradesh,2012.0
22,201201023,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,395,455,485,-1.0,455,-1,-1,-1,-1,-1,-1,190000,01-10-2013 00:00,01-04-2015 00:00,developer,Hyderabad,m,23-01-1992 00:00,,state board,2009,95.2,state board,7304,2.0,B.Tech/B.E.,electronics and communication engineering,76.0,7304,0,Telangana,2013.0
23,201201024,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,370,360,270,0.649389715,-1,356,-1,-1,-1,-1,-1,180000,01-08-2014 00:00,01-04-2015 00:00,electrical project engineer,Bangalore,m,30-07-1986 00:00,70.0,state board,2006,43.42,"p u board, karnataka",8774,2.0,B.Tech/B.E.,electronics and communication engineering,55.52,8774,1,Karnataka,2014.0
24,201201025,0.4155,0.8027,0.1357,-0.995,-0.6692,625,555,630,0.356536488,475,-1,346,-1,-1,-1,-1,335000,01-06-2014 00:00,01-06-2015 00:00,programmer analyst,Hyderabad,m,28-06-1993 00:00,,state board,2010,90.0,state board,7927,2.0,B.Tech/B.E.,computer science & engineering,76.0,7927,1,Telangana,2014.0
25,201201026,0.0464,1.2028,-0.9245,0.5323,-0.2875,575,585,575,0.744758354,565,-1,438,-1,-1,-1,-1,435000,01-09-2012 00:00,present,systems analyst,Gurgaon,f,02-03-1991 00:00,86.8,cbse,2008,82.8,cbse,7787,2.0,B.Tech/B.E.,computer science & engineering,78.0,7787,0,Haryana,2012.0
26,201201027,0.8192,0.1888,-1.7954,1.8249,1.1343,415,335,405,0.884122512,535,333,-1,313,-1,-1,320,345000,01-01-2011 00:00,01-10-2013 00:00,senior software engineer,Bangalore,m,05-02-1988 00:00,90.88,karnataka state education examination board,2006,82.5,dept of pre-university education,1795,2.0,B.Tech/B.E.,computer engineering,66.15,1795,0,Orissa,2010.0
27,201201028,0.99,1.3779,0.7785,-0.2344,-0.6692,535,510,605,0.88162007,-1,420,-1,-1,-1,-1,-1,300000,01-09-2014 00:00,01-01-2015 00:00,ase,Bangalore,m,01-02-1993 00:00,76.8,state board,2009,83.0,state board,1620,2.0,B.Tech/B.E.,electronics and communication engineering,76.44,1620,0,Uttar Pradesh,2014.0
28,201201029,0.1282,0.7119,1.3933,-0.3612,-0.0943,580,570,385,0.20739217,335,260,-1,-1,-1,313,-1,145000,01-02-2015 00:00,01-04-2015 00:00,telecommunication engineer,Noida,m,20-01-1994 00:00,84.0,cbse,2011,68.0,cbse,1669,2.0,B.Tech/B.E.,electronics and communication engineering,72.0,1669,0,Uttar Pradesh,2015.0
29,201201030,-3.1994,-1.8393,0.0552,0.0623,-0.7615,485,375,435,0.486747008,345,-1,376,-1,-1,-1,-1,220000,01-11-2014 00:00,01-04-2014 00:00,java software engineer,Gurgaon,m,11-06-1992 00:00,64.0,cbse,2010,74.0,cbse,1599,2.0,B.Tech/B.E.,information technology,68.0,1599,0,Haryana,2014.0
30,201201031,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,475,405,695,0.670743151,455,-1,-1,-1,-1,-1,-1,530000,01-12-2011 00:00,present,systems engineer,Hyderabad,m,04-10-1989 00:00,84.0,ssc,2007,,bie,5715,2.0,B.Tech/B.E.,computer engineering,77.2,5715,0,Andhra Pradesh,2011.0
31,201201032,-0.0154,1.2114,1.0859,-1.5021,0.2889,560,485,450,0.622642916,485,-1,407,-1,-1,-1,-1,340000,01-08-2014 00:00,01-04-2015 00:00,software engineer,Bangalore,m,23-10-1992 00:00,77.2,state board,2010,86.1,state board,6807,2.0,B.Tech/B.E.,computer science & engineering,71.0,6807,0,Tamil Nadu,2014.0
32,201201033,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,570,475,295,0.413838256,385,-1,-1,-1,-1,-1,-1,360000,01-10-2013 00:00,present,application developer,Noida,f,14-09-1991 00:00,87.0,cbse,2009,84.4,cbse,7283,1.0,B.Tech/B.E.,computer engineering,79.3,7283,1,Delhi,2013.0
33,201201034,-0.7335,0.5454,-0.7585,-0.6147,1.4386,560,530,605,0.911395278,445,-1,500,-1,-1,-1,-1,145000,01-10-2014 00:00,present,ios developer,Kolkata,m,07-01-1992 00:00,73.0,state board,2010,68.4,state board,7332,2.0,B.Tech/B.E.,information technology,74.3,7332,1,West Bengal,2014.0
34,201201035,1.5644,1.0449,0.3174,-1.8824,1.0554,430,510,405,0.356536488,465,-1,346,-1,-1,-1,-1,215000,01-01-2015 00:00,present,executive assistant,Bangalore,f,30-08-1989 00:00,,cbse,2009,,icse,7122,2.0,B.Tech/B.E.,computer science & engineering,70.86,7122,0,Uttar Pradesh,2013.0
35,201201036,-0.4854,-0.5213,2.1129,-0.735,1.8224,570,475,430,-1.0,-1,-1,-1,-1,-1,-1,-1,350000,01-03-2014 00:00,present,online marketing manager,mohali,f,15-09-1990 00:00,85.0,cbse,2008,61.0,cbse,2096,2.0,B.Tech/B.E.,electronics and communication engineering,64.98,2096,0,Punjab,2011.0
36,201201037,-1.0208,0.2124,0.4711,0.2727,-0.0943,380,535,530,0.525922584,415,-1,-1,-1,-1,-1,-1,270000,01-03-2013 00:00,present,software engineer,Hyderabad,f,21-08-1992 00:00,91.5,state board,2009,93.8,state board,8858,1.0,B.Tech/B.E.,computer engineering,74.1,8858,1,Telangana,2013.0
37,201201038,0.2718,0.5454,0.3174,-1.8824,-0.4776,475,605,415,0.649389715,435,356,-1,-1,-1,-1,-1,80000,01-10-2010 00:00,01-04-2015 00:00,documentation specialist,Gurgaon,m,13-02-1993 00:00,77.0,cbse,2010,85.4,cbse,2096,2.0,B.Tech/B.E.,electronics and communication engineering,63.9,2096,0,Punjab,2014.0
38,201201039,-0.0154,1.2114,0.6248,0.7798,0.8637,450,525,545,0.735795709,475,-1,-1,-1,-1,-1,-1,330000,01-01-2014 00:00,present,associate software engineer,Bangalore,m,02-10-1991 00:00,52.33,state board,2007,67.0,state board,1536,2.0,MCA,computer application,77.15,1536,0,Uttar Pradesh,2013.0
39,201201040,0.3941,1.2808,0.2366,-2.1998,-0.4455,510,640,635,0.124502074,-1,233,-1,-1,-1,-1,-1,200000,01-01-2013 00:00,01-06-2013 00:00,management trainee,-1,m,28-02-1991 00:00,88.0,kerala state technical education,2008,,kerala state hse board,2782,2.0,B.Tech/B.E.,electronics and communication engineering,76.4,2782,0,Kerala,2012.0
40,201201041,-0.4173,0.3448,0.0914,-0.4078,0.6603,425,595,475,0.130441736,-1,-1,-1,286,-1,-1,-1,120000,01-06-2011 00:00,01-03-2012 00:00,site manager,Jhansi,m,04-05-1989 00:00,66.6,cbse,2007,68.6,up board,1739,2.0,B.Tech/B.E.,mechanical engineering,60.22,1739,0,Uttar Pradesh,2011.0
41,201201042,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,380,545,460,0.356536488,395,-1,346,-1,-1,-1,-1,145000,01-07-2014 00:00,01-09-2014 00:00,software developer,Delhi,m,21-04-1992 00:00,75.0,cbse,2009,60.0,cbse,1739,2.0,B.Tech/B.E.,computer science & engineering,66.0,1739,0,Uttar Pradesh,2014.0
42,201201043,-0.0154,0.2578,-0.5349,-1.1218,-1.359,555,560,825,0.23780284,525,-1,315,-1,-1,-1,-1,350000,01-08-2014 00:00,present,associate software engineer,Bangalore,m,11-12-1991 00:00,91.4,icse,2010,73.0,cbse,1774,1.0,B.Tech/B.E.,information technology,71.0,1774,0,Uttar Pradesh,2014.0
43,201201044,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,300,340,355,0.11213943800000001,155,228,-1,-1,-1,-1,-1,120000,01-04-2014 00:00,01-04-2015 00:00,.net developer,Hyderabad ,m,05-07-1993 00:00,59.0,state board,2010,87.7,state board,10566,2.0,B.Tech/B.E.,electronics and communication engineering,71.04,10566,1,Telangana,2014.0
44,201201045,0.51,0.6568,-0.6343,0.2973,0.1864,425,525,515,0.377551419,375,-1,-1,-1,-1,-1,-1,380000,01-05-2012 00:00,01-04-2015 00:00,programmer analyst,Bangalore ,f,06-01-1989 00:00,,0,2007,,0,4875,2.0,B.Tech/B.E.,computer engineering,92.1,4875,0,Karnataka,2011.0
45,201201046,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,430,395,500,0.06696070700000001,-1,-1,-1,253,-1,-1,-1,110000,01-09-2014 00:00,01-01-2015 00:00,production engineer,Chennai,m,12-10-1992 00:00,95.8,state board,2010,87.16,state board,2523,2.0,B.Tech/B.E.,mechanical engineering,79.0,2523,0,Tamil Nadu,2014.0
46,201201047,0.1282,0.5454,0.1637,-0.4879,0.8637,370,495,455,0.08005528099999999,445,-1,253,-1,-1,-1,-1,205000,01-07-2013 00:00,01-04-2015 00:00,jr. software engineer,noida,f,24-09-1991 00:00,85.6,cbse,2008,82.0,cbse,9642,2.0,B.Tech/B.E.,computer science & engineering,74.01,9642,0,Haryana,2012.0
47,201201048,-0.4173,0.6568,-0.7794,1.7074,0.1864,485,415,575,0.925645767,-1,-1,-1,-1,-1,-1,-1,95000,01-10-2012 00:00,01-10-2013 00:00,software developer,delhi,m,01-02-1992 00:00,69.6,bseb,2008,,bseb,4700,2.0,B.Tech/B.E.,computer engineering,77.0,4700,0,Orissa,2012.0
48,201201049,-2.5039,0.0328,0.3817,0.26793,0.5024,505,545,565,0.356536488,475,-1,346,-1,-1,-1,-1,390000,01-09-2013 00:00,present,software engineer,Bangalore,m,28-02-1991 00:00,86.6,cbse,2009,75.0,cbse,9005,2.0,B.Tech/B.E.,computer science & engineering,74.0,9005,0,Madhya Pradesh,2013.0
49,201201050,1.2828,1.7488,1.8331,-2.2879,1.1343,565,465,415,0.843123727,515,-1,-1,-1,-1,-1,-1,270000,01-05-2012 00:00,01-07-2014 00:00,qa analyst,Bangalore,m,27-03-1989 00:00,81.92,state board,2007,61.46,state board,3160,2.0,B.Tech/B.E.,information technology,57.54,3160,1,Karnataka,2011.0
50,201201051,-1.0355,0.0328,-2.2308,1.0024,0.3444,505,505,485,0.916869961,555,-1,-1,-1,-1,-1,-1,60000,01-06-2011 00:00,01-02-2013 00:00,trainee software developer,Bhubaneswar,f,13-02-1988 00:00,66.5,cbse,2005,49.5,chse,2803,2.0,MCA,computer application,89.7,2803,0,Orissa,2011.0
51,201201052,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,580,485,455,0.783303537,405,388,-1,-1,-1,-1,-1,120000,01-02-2015 00:00,present,ui developer,Hyderabad,m,03-11-1991 00:00,80.0,state board,2009,72.5,state board,9551,2.0,B.Tech/B.E.,electronics and computer engineering,57.8,9551,0,Andhra Pradesh,2013.0
52,201201053,1.1336,0.3789,1.0859,0.653,0.2889,545,385,485,0.600057182,435,-1,-1,-1,-1,-1,-1,400000,01-04-2015 00:00,present,software engineer,Navi Mumbai,m,09-03-1992 00:00,85.2,icse,2010,81.5,icse,7367,2.0,B.Tech/B.E.,computer science & engineering,57.64,7367,0,Uttar Pradesh,2014.0
53,201201054,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,570,510,545,0.792936278,-1,-1,-1,-1,484,-1,-1,350000,01-09-2014 00:00,present,assistant system engineer,Mumbai,m,06-08-1991 00:00,89.25,state board,2010,78.0,state board,4133,2.0,B.Tech/B.E.,electrical engineering,80.0,4133,1,West Bengal,2014.0
54,201201055,0.335,0.0924,-0.6582,-0.4821,-0.1543,440,415,554,0.793580615,495,-1,-1,-1,-1,-1,-1,120000,01-11-2014 00:00,present,android developer,New Delhi,f,14-01-1992 00:00,,cbse,2008,64.8,cbse,1718,2.0,MCA,computer application,80.0,1718,0,Haryana,2014.0
55,201201056,-0.3027,0.7119,-0.2974,1.1601,-0.4776,525,530,595,0.486747008,485,-1,376,-1,-1,-1,-1,250000,01-08-2014 00:00,present,software engineer,Mangalore,m,13-02-1992 00:00,90.8,state board,2010,90.1,state board,9523,2.0,B.Tech/B.E.,computer science & engineering,67.7,9523,0,Karnataka,2014.0
56,201201057,0.8192,-0.0842,-0.598,-0.6428,-0.6035,415,595,495,0.694479328,-1,366,-1,-1,-1,-1,-1,240000,01-03-2013 00:00,present,customer service,Rewari,f,15-07-1989 00:00,78.0,cbse,2006,70.1,cbse,1872,2.0,B.Tech/B.E.,electronics and communication engineering,68.2,1872,0,Haryana,2011.0
57,201201058,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,555,475,635,0.694479328,-1,366,-1,-1,-1,420,-1,525000,01-03-2012 00:00,present,test engineer,Hyderabad,f,15-08-1989 00:00,89.88,0,2007,95.4,0,3083,2.0,B.Tech/B.E.,electronics and communication engineering,80.8,3083,1,Telangana,2011.0
58,201201059,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,420,510,665,0.11213943800000001,-1,228,-1,-1,-1,-1,-1,200000,01-06-2013 00:00,01-01-2014 00:00,project engineer,Gaziabaad,m,27-03-1990 00:00,63.3,state board,2008,61.1,state board,8767,2.0,B.Tech/B.E.,electronics and communication engineering,66.9,8767,0,Uttar Pradesh,2013.0
59,201201060,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,640,460,250,0.525922584,415,300,-1,366,-1,-1,400,120000,01-09-2009 00:00,01-04-2013 00:00,software engineer,Bangalore,m,30-10-1977 00:00,72.0,cbse,1995,49.0,puc,2726,2.0,B.Tech/B.E.,computer engineering,55.0,2726,0,Karnataka,2011.0
60,201201061,-0.159,-0.1206,0.1637,1.5404,-0.0943,430,410,310,0.16563309199999998,305,-1,-1,-1,-1,-1,-1,305000,01-11-2013 00:00,present,software engineer,Chennai,f,27-12-1991 00:00,83.0,state board,2009,79.0,state board,7927,2.0,B.Tech/B.E.,information technology,70.0,7927,1,Telangana,2013.0
61,201201062,1.8517,1.5444,0.3174,0.3995,0.6721,370,375,325,0.356536488,315,-1,346,-1,-1,-1,-1,300000,01-10-2014 00:00,01-04-2015 00:00,java developer,Chennai,m,30-06-1993 00:00,85.3,state board,2010,88.3,state board,2411,2.0,B.Tech/B.E.,computer science & engineering,85.0,2411,1,Tamil Nadu,2014.0
62,201201063,-1.1644,-0.9531,0.01,-0.7415,-0.8608,535,510,390,0.20739217,-1,260,-1,-1,-1,260,-1,145000,01-06-2014 00:00,present,engineer,Noida,f,02-03-1991 00:00,81.0,cbse,2009,77.8,cbse,9201,2.0,B.Tech/B.E.,electronics and communication engineering,65.35,9201,0,Uttar Pradesh,2014.0
63,201201064,-2.2351,-2.6847,-2.6028,0.3995,-5.477,370,410,470,0.7553751209999999,315,-1,-1,446,-1,-1,-1,150000,01-10-2014 00:00,01-04-2015 00:00,management trainee,Bhiwadi,m,10-01-1992 00:00,60.66,up,2008,62.4, upboard,8095,2.0,B.Tech/B.E.,mechanical engineering,69.3,8095,0,Uttar Pradesh,2013.0
